participant_id,source_file,host,host_participant_label,puzzle_id,order,completed,skipped,initial_rating,final_rating,rating_change,experience_level,played_before,skill_nonogram,skill_puzzles,nonogram_size_experience,logic_experience,puzzle_played_frequency,human_time_to_solve,conflicts,decisions,propagations,sat_time_to_solve,log_conflicts,log_decisions,log_propagations,log_sat_time,centered_final_rating
P001,Bing-p1.ndjson,Bing,p1,1,1,True,False,3.0,3.0,0.0,6.0,many,6.0,4.0,"[""<=10*10"", ""10*10"", "">=10*10"", ""other""]","[""sudoku"", ""minesweeper"", ""battleships""]",many,319.659474,0,2,307,0.022,0.0,1.0986122886681098,5.730099782973574,0.02176149178151269,0.0
P001,Bing-p1.ndjson,Bing,p1,2,2,True,False,2.0,2.0,0.0,6.0,many,6.0,4.0,"[""<=10*10"", ""10*10"", "">=10*10"", ""other""]","[""sudoku"", ""minesweeper"", ""battleships""]",many,135.19776,4,8,417,0.035,1.6094379124341003,2.1972245773362196,6.035481432524756,0.0344014267173324,-1.0
P001,Bing-p1.ndjson,Bing,p1,4,3,True,False,4.0,4.0,0.0,6.0,many,6.0,4.0,"[""<=10*10"", ""10*10"", "">=10*10"", ""other""]","[""sudoku"", ""minesweeper"", ""battleships""]",many,360.55084,15,40,1133,0.071,2.772588722239781,3.713572066704308,7.033506484287697,0.06859279146561172,1.0
P002,Bing-p2.ndjson,Bing,p2,2,1,True,False,4.0,3.0,-1.0,7.0,few,7.0,6.0,"[""N/A""]","[""sudoku"", ""minesweeper"", ""battleships""]",few,365.322334,4,8,417,0.035,1.6094379124341003,2.1972245773362196,6.035481432524756,0.0344014267173324,-0.6666666666666665
P002,Bing-p2.ndjson,Bing,p2,3,2,True,False,4.0,4.0,0.0,7.0,few,7.0,6.0,"[""N/A""]","[""sudoku"", ""minesweeper"", ""battleships""]",few,541.887496,15,31,1063,0.052,2.772588722239781,3.4657359027997265,6.96979066990159,0.050693114315518116,0.3333333333333335
P002,Bing-p2.ndjson,Bing,p2,5,3,True,False,4.0,4.0,0.0,7.0,few,7.0,6.0,"[""N/A""]","[""sudoku"", ""minesweeper"", ""battleships""]",few,558.700502,4,13,453,0.076,1.6094379124341003,2.6390573296152584,6.118097198041348,0.07325046173959267,0.3333333333333335
P003,Bing-p3.ndjson,Bing,p3,3,1,True,False,2.0,2.0,0.0,2.0,never,2.0,2.0,"[""N/A""]","[""sudoku"", ""battleships"", ""other""]",never,957.317183,15,31,1063,0.052,2.772588722239781,3.4657359027997265,6.96979066990159,0.050693114315518116,0.33333333333333326
P003,Bing-p3.ndjson,Bing,p3,0,2,True,False,2.0,2.0,0.0,2.0,never,2.0,2.0,"[""N/A""]","[""sudoku"", ""battleships"", ""other""]",never,772.644397,0,4,313,0.063,0.0,1.6094379124341003,5.749392985908253,0.061095099359810875,0.33333333333333326
P003,Bing-p3.ndjson,Bing,p3,2,3,True,False,1.0,1.0,0.0,2.0,never,2.0,2.0,"[""N/A""]","[""sudoku"", ""battleships"", ""other""]",never,685.018165,4,8,417,0.035,1.6094379124341003,2.1972245773362196,6.035481432524756,0.0344014267173324,-0.6666666666666667
P004,Bing-p4.ndjson,Bing,p4,0,1,True,False,4.0,4.0,0.0,1.0,never,1.0,5.0,"[""N/A""]","[""sudoku""]",never,934.596653,0,4,313,0.063,0.0,1.6094379124341003,5.749392985908253,0.061095099359810875,1.0
P004,Bing-p4.ndjson,Bing,p4,2,2,True,False,2.0,2.0,0.0,1.0,never,1.0,5.0,"[""N/A""]","[""sudoku""]",never,439.522363,4,8,417,0.035,1.6094379124341003,2.1972245773362196,6.035481432524756,0.0344014267173324,-1.0
P004,Bing-p4.ndjson,Bing,p4,5,3,False,True,-1.0,,,1.0,never,1.0,5.0,"[""N/A""]","[""sudoku""]",never,,4,13,453,0.076,1.6094379124341003,2.6390573296152584,6.118097198041348,0.07325046173959267,
P005,Bing-p5.ndjson,Bing,p5,0,1,True,False,3.0,3.0,0.0,8.0,many,8.0,7.0,"["">=10*10"", ""10*10"", ""<=10*10""]","[""sudoku"", ""minesweeper"", ""battleships""]",many,149.471549,0,4,313,0.063,0.0,1.6094379124341003,5.749392985908253,0.061095099359810875,-1.0
P005,Bing-p5.ndjson,Bing,p5,2,2,True,False,4.0,4.0,0.0,8.0,many,8.0,7.0,"["">=10*10"", ""10*10"", ""<=10*10""]","[""sudoku"", ""minesweeper"", ""battleships""]",many,119.145795,4,8,417,0.035,1.6094379124341003,2.1972245773362196,6.035481432524756,0.0344014267173324,0.0
